text,airline_sentiment
today flight palm spring ca jfk ny cancelled flightled,negative
hahaha 😂 guy amazing love guys💗,positive
sound like fun,positive
update flight jfk gt lax,neutral
spruce moose,neutral
cs site right please fix site unusable,negative
flight vega boston today checked online bag count didnt register fix somehow,negative
classiq luv virgin america greetingz,positive
hi im trying checkin website working tried different browser problem continues,negative
thanks great customer service today amp helping get travel sorted,positive
thanks guy sweet route rockies airplanemodewason,positive
love music blasting gate boston waiting flight sanfrancisco could get iced coffee,positive
passenger flt assaulted shouldnt flown trust he banned crew filed report,negative
current bug website show ‘select departure city’ selecting destination city,negative
luggage severely dentedmissing wheel coming baggage claim san luggage agent miranda think wasnt help,negative
thank easy itinerary shift impending weather quick painless amp free,positive
youd love see girl inspired become pilot rt free woaw event march abq,neutral
thanks good time back vodkatonics entire flight🍸sfo,positive
beat expectation share take santa cruz sentinel,neutral
plan start flying direct dal la,neutral
big lovegratitudempower w werin oscar vipswagbags avalonhollywood,neutral
youre great job adding little luxuriesaesthetics improve air travel experience thank keep,positive
requested window seat confirmed window got stuck middle seat good way treat silver member😒,negative
grand budapest hotel oscarscountdown,neutral
missed next trip,neutral
wtf paid direct flight purpose stop fuel exhausted frequent flier nothing inconvenience,negative
something wrong website safari iphone,negative
thanks gate checking baggage full flight dfwlax giving early boarding sweet,positive
already checked page expired x,negative
boo refunding seat upgrade fee want buy first place,negative
share rise q financial result usa today,neutral
add pillow instead lieflat seat first class arm race,neutral
see,positive
way take advantage mayweatherpacquiao,neutral
know im flying virgin fight mayweatherpacquiao,neutral
inflight team make experience amazing,positive
cutest salt pepper shaker ever think guy cant get better,positive
moved seat notice better seat cabin select behind row selected👎 disappointed,negative
share q result,neutral
fav airline,positive
hot female pilot sweet dca sfo,positive
👍👍✈️✈️💗 guy going start flying paris youre welcome”,neutral
policy flying surgery still waiting answer tell doctor,neutral
already contacted central baggage amp sent dm charging dress lost suitcase help,negative
thank,positive
anything going website ive getting lot error past minute,negative
think left something plane yesterday callah,neutral
need follow back order dm,neutral
need start flying 😊😀😃😄,neutral
told check airline regulation first contacted,neutral
checked flight sfo lax amp told atlantic flying club gold get benefit,negative
husband ordered three drink via screen never came awesome,negative
soooo guy going leave seatbelt light flight barely call turbulence,negative
policy flying surgery,neutral
post second consecutive fullyear net profit,neutral
funny story website broken missing javascript stylesheets checkin process dislike,negative
would love virgin like,positive
result handily exceed forecast,neutral
applied position wondering guy received application,neutral
achieves second year profitability despite revenue pressure,neutral
give positive outlook see increased competition,neutral
im trying check ct flight tmm desktop website working sort caching bug so,negative
weather delay gt next week jfk bos dca,neutral
check website go airport,neutral
guy know checkin link email broken,negative
pilot say expect choppy landing nyc due gusty wind wa temperature degree amp wthe windchill,neutral
loved cant wait monday return flight mostly watch inflight safety video sorrynotsorry,positive
lost luggage day ago flight vx lax iad amp im calling every day responseplease give back stuff,negative
flight booking problem section website seems broken chrome might wanna look,negative
hi wanted see new route planned year newark love flying guy hope,positive
mean probably inappropriate board,positive
happy spend day together let,positive
saving sanity right,neutral
missed flight standby work,neutral
understanding helped thx comp,positive
brought way across country today see,neutral
thank absolutely 😎,positive
look like broken link asset,negative
ready let say together noooo turbulence today 😘,neutral
manage itinerary section website seems broken,negative
cant check site look like every time load,negative
u help 👸 need urgent treatment in🇺🇸y old battling cancer could u help flight 💗freyasfund,neutral
may start service hawaii sanfrancisco year biztravel,neutral
carrier less half price round trip fare stunned,negative
wtf happening pdx late flight march one way sfo,negative
add dtw im sold,neutral
free drink flight back free promo,positive
thanks,positive
momma made 😁😁😁,neutral
please contact portfolio left flight vx jfk sfo tonite seat need returned call,neutral
help flight jkf tonight seat c left portfolio need back,neutral
seattle bound wifey got duffle vday shes keeper holla,neutral
luggage gone ive filed paperwork promised callemail still resolution response central luggage,negative
debbie baldwin gave rockstar performance safety demo evening vx lassfo bestcrew sherocks,neutral
thanks taking care flight rockstars travel,positive
thanks lovely soft view travel san sfo,positive
requested mileage challenge status several week ago online havent heard back get help,negative
trying book ticket nyc facing super fun broken styling dont worry ill keep trying,negative
many thanks follow ourprincess freyasfund usa bandie looking help😍 💗🇬🇧💗🇺🇸💗 🎀🌏🎀,neutral
nice lofty view silverstatus,neutral
applied status match feb got confirmation email day still news though guy dropped ball late flightly 😥,negative
new go airline,neutral
help ourprincess need help usa 🎀🇬🇧🎀🇺🇸🎀,neutral
adore looking forward flight austin two week,positive
glad mentioned took first virgin flight year back transformative experience,positive
flight booking problem flight uphold status match tax ticket count earned status point statusmatch virginamerica,neutral
trying checkinbut look like site,negative
spending birthday night daldca get home,negative
sent couple message email provided avail try next year cheer,negative
first time flying virgin went sanfrancisco thanks smooth ride easily new fav airline,positive
seriously though direct flight sfofll may,negative
fine already done purchase try go way go back,negative
really experience hoping w forced check small carry w nothing empty cabin space board,negative
wjere luggage slow lax,negative
jump dallas austin market,neutral
spoke representative offered solution loyal customer fly well,negative
deeply disappointed birthday promo applied trip booked mere day received email,negative
happened direct flight sfofll looking may see connecting help dontdothistome,negative
help left blazer kooples jacket bag rd row second seat right gate lax flight sfo,neutral
partner checkout mobile payment method help boost mobile conversion rate etailwest payment visa,neutral
promoting product problem southwest recommend noneother best,positive
love guy pls get direct route la au,positive
would like help flight please,neutral
bruh “ turn vxsafetydance”,neutral
course work im obsessed entire virgin family,positive
ok first time flying tonight,positive
digging swanky pink mood lighting flight nyc sfo need cabaret singer think,neutral
done need receipt asap could please help,neutral
embossed badge patch superior one currently using,negative
vx jfk la dirty plane standard,negative
flight vx headed la jfk dirtiest va plane ever sad great airline,negative
got squared away someone picked soon tweeted tweeted sooner 😉,positive
avis rental continue button doesnt work website book car tried time phone suck,negative
delayed,negative
currently minute hold cust service need anything add lap child reservation,negative
add pillow instead lieflat seat first class arm race,neutral
“ course fun celebrating” thanks happy chinese new year,positive
flight booking problem last second flight next week sfo san chance want gift promo code since love guy,positive
comenity bank joke please change nothing constant problem bank,negative
dm u also add,neutral
grandma ellas th would lt bday greeting flight crew stewardess eastern airline,positive
bought tix atx dallas route thanks adding love yr airline amp yr website best transactional site ever,positive
anytime sugafly,neutral
gave credit late flight flight yesterday great service thats wow moment unexpected gesture,positive
need receipt flight change send one,neutral
submitted status match request back still haven’t heard i’m flying monday look accelerate,negative
safety video loved first cross country flight livewelltraveled sytycd,positive
doesnt look fat look yummy,positive
ceo say southwest amp jetblue strayed low cost model,neutral
brilliant brisk boston cue vx,neutral
atlantic plough lone furrow middleeast,neutral
atlantic plough lone furrow middleeast,neutral
atlantic plough lone furrow middleeast,neutral
omg omg😍😍 nonstop dallas austin virgin✨😱✈️,positive
plane really pretty thought u know,positive
flying hawaii,neutral
im pulling hair trying book flight u site doesnt work iphone ipaddont computer help,negative
thank,positive
get help support ticket day incident thank,negative
good home texas moodlighting,positive
cannot even open laptop seat c paid premium let,negative
seat c cannot even open laptop paid extra seat,negative
guy starting flight end month guess i’m still road tripping feb …,neutral
thanks needing way make austin trip dca youve come,positive
announced new route austin wfares way,neutral
really sprint thought guy kewl,neutral
cool never ur plane,positive
dollar laxlas fare,neutral
great well deserved,positive
fyi infocom email address say contact password reset email doesnt exist email bounce,negative
status match week gone newsflt next week hope flt count towards requirement cust svc help,negative
website suck donkey dick thought know best,negative
still develop app favorite airline,neutral
crap channel pay watch uk tv,negative
got set thanks,positive
channel year,neutral
thing see passbook virgin mobile mexico integrate,neutral
giant virgin america match made heaven,positive
thank goodness also see friday nwkgtsf boom,positive
come dont iphone app still using making waste paper,negative
back seat entertainment system accept credit card apostrophe surname apostrophefail,negative
vx use lga slot instead today adding au make less likely,negative
helping step game tindertips tinderchamp,neutral
luv ur people product thing u charge herbal tea black tea im caffeine drinker,positive
thank see yall soon im excited see expansion destination spread wing,positive
announces new nonstop connecting amp intro,neutral
add austindallas love field route,neutral
sad learn longer fly sfo gt phl hope return,negative
tweet cancelled flightchng fee flight rebook one affiliate afiliates,neutral
incredible customer service ive ever experienced refreshing,positive
see virginamerica come philadelphia phl,neutral
dreaming really open route dallas austin mean houston might next,positive
omg finally,positive
start xweekly flight dallas austin apr avgeek,neutral
nice see expanding texas dont forget u sandiego would love see flight,neutral
kinda sucked earphone jack didnt work flight may want look future passenger,negative
poor experience first computer problem seat malfunction stuck missing meeting san diego,negative
battle route via,neutral
thankyou dalaus route make day,positive
awesome deal dalaus way,positive
miss nerdbird san jose,neutral
love taking backyard consumer win biz competes,positive
​ flying love austin excellent news,positive
make every vx plane nerdbird austin one getting nerd love,neutral
please add frequency pdx portland,neutral
congrats vx new route ✈️🎉,positive
tried offered charge additional k new ticket stranded thurs st time last time,negative
u help flight get old battling cancer need treatment 🇺🇸 💗 🎀 💗,neutral
never bad experience one took cake extortion carry item well,negative
spend hour worrying item carryon would brokenstolen since couldnt carry plane lock bag,negative
group e told room bin got plane room least bag row,negative
thanks making flight lax jfk nightmare forcing check carry bag gate,negative
lot flight book site working ive phone waiting minute,negative
flight artisanal cheese wine pairing,positive
virgin america fly direct seattle nyc boston,neutral
thats classy,positive
im sure lot jfklhr flight go lot faster mph strong tailwind,positive
tminus minute elevate silver upgrade window open freeneversucks 😃👍,positive
save tomorrow,neutral
taking year fly home dallas get shit together,negative
club virgin bumping new york,neutral
would rough trip luckily virginamerica flight weather,positive
thestarter😁,neutral
please come minneapolis st paul,neutral
yes fyi bff,neutral
another perfect flight come plane sun visor stay carrier make raise,positive
nice rt man steel might faster wifi – saying sciencebehindtheexperience,positive
love dancing little richard cool bean,positive
don’t use passbook still love though lt i’ll use email future,positive
thanks free birthday point yall right,positive
application io looking saw virgin mexico lt,neutral
man steel fly city thoughand frequency,negative
thanks much sharing added site,positive
good point,neutral
heard virgin mobile hotspot,neutral
got cheese plate flight,neutral
flight,neutral
dad segway best part whole infographic,positive
plan short haul airline europe would defiantly fly guy,positive
wifi better seating,positive
come abc one network channel dont,neutral
started flight scolding using overhead bin offered person seated next,negative
great return call day couldnt ask myvxexperience,positive
airline werent cancelled flighting flight bos helping customer get home virgin saying good luck,negative
dear virgin customer youre stranded sf day amp cost well least accommodate,neutral
use next airline commercial lol,neutral
grouping virgin others bos weather exposed actual cu serv model never flight booking problem virgin,negative
one traveler affected boston storm im shocked virgin complete apathy toward customer,negative
umm reason someone different contact contact get definitive answer,negative
trying make change advance hour prior…tried online earlier wanted change fee,negative
loyal im driving nyc pa fly virgin since cut philly flight,positive
way change main cabin main cabin select flight without paying change fee penalty,neutral
guy perfect always lt wervirgin,positive
thanks yall best customer service left industry,positive
give silver status month,neutral
really wish youd fly fargo fare amazings,positive
mood lighting point🙌 reclining seat kickin feet💤,negative
flight scheduled pm departure still say time plane gate update long delay,negative
group got cancelled flightlation fee waived cant ticket booked rep help either 😡,negative
sign bonus enroll elevate,neutral
got pm newark home la folk ewr incredible letsgohome,positive
morning question regarding elevate point amp flight dm,neutral
still waiting see 😞,neutral
wondering guy recieved dm able potentially respond asap,neutral
flying lax sfo looking awesome movie lineup actually wish long haul,positive
“ book town fare way restr,neutral
thanks,positive
thanks taking care mr happy customer,positive
still refund word via dm please resolve issue cancelled flightled flight useless assistant trip,negative
delayed due lack crew delayed there long line deicing still need improve service united,negative
thanks filled hows luck common,positive
eriord express connection hugely popular could eriewr hop,negative
even international flight glasgow u orlando newark min,neutral
think boarded flight au early think,negative
understand tough way get airport wo serious risk accident steep price,neutral
gate agent hooked alternate flight way prevent constant issue would rock,negative
flying glamco week long airport departure international domestic ta,neutral
thanks ticket,positive
law policy,neutral
worst nonrefundable first class ticket oh select globalfc system auto selects economy wupgrade,negative
buy tix day flight cant transfer tix flawed security logic flawed customer service,negative
start claim week unrealistic really supposed go long car seat childridiculous,negative
follow please airline beautifull ♥,positive
dont im sure united info system,neutral
car seat lost reimburse new one pair shoe necessity child,negative
submitted response link sent,neutral
yes david allan send email number kmmvlkm case,neutral
totally suck cousin worked phl said,negative
wanted let know wonderful rosetta gate agent working flight dan ase let know wasappreciated,positive
yes paper voucher got january th,neutral
beginning feb called united said would send another voucher mail never got anything tiredofwaiting,negative
internet great thing emailing executive company maybe respond timely manner,negative
need use chase united club pas yr old son come pas,neutral
suppose number,neutral
thats weak see ya 👋 hey,negative
flew back w company since united didnt earlier flight,negative
lost voucher given miami aeroport jan use,neutral
trying book award september need flight show even w many award seat availab,negative
sure drive total hour get bag id like explain debacle one want talk,negative
gee thats like almost caring ppl think im int trusted adult w daughter,neutral
see told repeatedly pilot late flight kept getting late flightr boarded defibrillator issue,negative
preferred security line anymore tsa precheck didnt pull partner flight platinum spoiled,negative
newarkliberty airport need indicate different gate terminal aampc flyingainteasy,negative
yes please newly married trying update last name preexisting international flight seems easy,negative
united refuse reissue lost voucher plane didnt take due mechanic badcustomerservice,negative
also run instructed shattered computer,negative
yes weve agent last minute one agent rude thankfully ladan nice,negative
thats right overnight miami,neutral
client hr layover iah day claim amp recheck luggage taken care,neutral
trying find loaner seat new used used car seat illegal according safety regulation,neutral
dmed detail,neutral
iah charlotte baggage claim rep latrice h customerservice non existent ignored customer inappropriately touched customer,negative
kewl also let know overhead bin row inop love good abbreve,neutral
thanks helpgot need issue guess sit awhile longer,positive
would loved respond website saw really long form business new seat bad,negative
refund flight voucher another flight different airline expense today hour drive inconvenient,negative
received call back daysits infant car seat supposed go anywhere child,negative
thanks concern contact customer care upon return australia,neutral
well sitting ground time waiting gateagain tiredofthis,negative
airport snow removal method keep good work folk cessnas become,positive
need guy book plane concern ill travel someone else moving forward,negative
measly ecertificate appreciate loyal customer wait hr tarmac ua unacceptable,negative
email addressusername signon available,negative
thank able claim interim expense cost stuff,positive
rude rude,negative
cant get boarding pas austrian airline codeshare flight rebook incls hour layover amp stuck outside sec,negative
received flight united truly break guitar unitedbreaksguitars wantmymoneyback,negative
flew telaviv paid third suitcase didnt even make plane besides impolite service,negative
bag still colo spring disabled search unfamiliar airport look bag good outcome,negative
shame there flex ticket transfer rule even calling neurosurgery icu isnt enough,negative
denver said dont handle baggage made colo spring gave number call help either,negative
guy need serious training customer service many better option put way guy handle ur mistake,negative
ord dca,neutral
found problem avoided like plague told cant find supervisor,negative
zccu cancelled flight flight h advance need connect flight reschedule link isnt helping help gf waited month see,negative
flying,negative
addition first flight delayed hour im arriving destination hr late flight,negative
cancelled flighted flight didnt rebook u added flight drive denver kcthanks,neutral
announcement pre boarding address mobility disability requires travel lot stuff preboard,neutral
flew united last month experience awesome,positive
travel booked thru united group dept okc ticket agent less willing help connection lax,negative
v upset disability service told one employee carrying medical equipment rude,negative
thnx quick reply dont think assist intl grp put considerable inconvenience today,negative
wont transfer flight ticket accompany yr old who active military mom emergency brain surgery wow,negative
week late flightr still received mile mileageplus gift card starbucks card handed,negative
k im always hoping improvement,negative
yet complained guy checked luggage throwing bag around unfortunate coincidence hope,negative
okc ticket agent roger mclarrensp less helpful intl group travel problem cant find supervisor help,negative
mobile apps need construction ground o category expensive get right,negative
another fail united ticket agent okc less helpful could care less problem american come,negative
also working wc coach good thing bird landed ahead schedule use wc stat,positive
o isnt controlled rather app new,neutral
sent email customer care telling may break 😢 sincerely hope help,negative
silly im flying delta today united club staff attendant surly unhelpful always seem bothered pesky folk,negative
phone number cant find call flight reservation,negative
well cant fix missing buddy th bday negligence attempt make,negative
believe help customer service couldnt like said want number someone fix,negative
helped baggage service desk said bc tsa screening fll bag made bag ewr,negative
mobile boarding pas disappeared phone standing line board second time week hmm,negative
record rozana newark lovely helpful choosekind,positive
last night ordlga,neutral
thx update,positive
thank,neutral
dm nut,neutral
explain eager flight attendant trying ask vision guide dog,negative
whats point asking detail servicedog book flight crew doesnt read continued,negative
tried one available bogota everyone rude houston stuck hour guy,negative
worstunitedflightsever ua la iad mechanical problem took land fix delayed wtfodds,negative
despite bag making newark good informative email tracking update help,positive
whats going ua outbound flight last thurs delayed hr long delay worstunitedflightsever,negative
worstunitedflightsever ua iad la mechanical problem switched aircraft delayed hour,negative
crashed trying check,negative
wow deal plus seat available easy change make customer happy,positive
thanks info already knew,neutral
airline trouble winter amp getting good customer service contact negotiate resolution,neutral
logan boarding gong show due lax carry enforcement bin full coat room bag u need better system,negative
thank,neutral
blackmailed paying £ extra return ticket nullified san francisco airport terrible service rep scam,negative
email address reach long dm,neutral
disappointed u didnt honor credit given ur mistake taking business elsewhere ✌️out,negative
ua still waiting supposed depart,negative
credit last trip never came mail,negative
ok month waiting hear airline gave quite bit day requested terrible service,negative
process ever end still waiting reply since month pathetic customerservice,negative
whats going website im flight booking problem three ticket today ive booted system umpteen time,negative
get account number website say email unavailable,negative
need book two one way order fly unaccompanied minor,neutral
received bag last night still missing one,negative
youll need upgrade seat even economy plus like sitting concrete bench,negative
pls help baby hannah get life saving surgery requiresshe need helppls donatert,neutral
bet wont honour like mine ey,neutral
nd flight also delayed pilot boarded sit scheduling,negative
guess thats much ask huh,neutral
hard stay upset someone least try show remorse,negative
way simple apology go long way even hollow one obvious dont care wellbeing,negative
isnt one time thing either shocking pattern repeated neglect disrespect,negative
finger crossed amp intact disappointed experience actually saying enjoyed using,negative
incredibly easy fix would rather stay comfort zone get forced mine,negative
july zero excuse outofdate system cause problem like,negative
everyone around u sitting friend family member booked ticket october december bought,negative
sure talking going nonstop flight sna sfo sfo ewr,negative
im moving talk service,negative
please good weekend,neutral
asked legitimate question systemwide v localized problem got back unrelate flightd copypaste better,negative
time call need ski go airport get faith united,negative
see guy amazing one company continually make mistake yet fails held accountable error,negative
tourist wonder super tide tide century french uk coast,neutral
yeah sorry there always problem united international reputation problem,negative
yall probably work,neutral
maybe would care hear went whoever listens issue caused,negative
wonder sharing fb insta would produce number character really limit story telling,negative
youre telling number call left airport negligent pilot staff,negative
